Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=0%	Option=10%	Option=20%	Option=30%	Option=40%	Option=49%	Option=Void	source_count	source_weight	sampling_probability
AK	Fuel Oil	Ducted Heating	2010s	0	0.112415	0.301941	0.283536	0.174146	0.127962	0	416	1	1.14183e-07
AK	Fuel Oil	Ducted Heating	<1940	0	0.1279	0.292379	0.380024	0.178347	0.0213503	0	35	35	3.59141e-07
AK	Fuel Oil	Non-Ducted Heating	1940s	0	0.120006	0.32612	0.270922	0.20237	0.0805822	0	70	70	2.02249e-06
AK	Fuel Oil	Non-Ducted Heating	1950s	0	0.12408	0.362979	0.252111	0.176908	0.083922	0	94	94	4.15345e-06
AK	Fuel Oil	Non-Ducted Heating	1960s	0	0.0767753	0.301939	0.270993	0.227069	0.123224	0	219	219	7.18635e-06
AK	Fuel Oil	Non-Ducted Heating	1970s	0	0.0623167	0.315977	0.285676	0.215899	0.120132	0	653	653	1.93181e-05
AK	Fuel Oil	Non-Ducted Heating	1980s	0	0.115952	0.364785	0.273315	0.166673	0.0792748	0	1005	1005	2.8381e-05
AK	Fuel Oil	Non-Ducted Heating	1990s	0	0.0916068	0.349943	0.261215	0.191463	0.105772	0	337	337	1.46109e-05
AK	Fuel Oil	Non-Ducted Heating	2000s	0	0.0989302	0.391112	0.260622	0.182497	0.0668388	0	262	262	1.37974e-05
AK	Fuel Oil	Non-Ducted Heating	2010s	0	0.129133	0.456102	0.285622	0.0912779	0.0378642	0	80	80	1.72737e-06
AK	Fuel Oil	Non-Ducted Heating	<1940	0	0.0934389	0.37573	0.274285	0.196733	0.059813	0	185	185	2.39186e-06
AK	Fuel Oil	None	1940s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	1950s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	1960s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	1970s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	1980s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	1990s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	2000s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	2010s	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	None	<1940	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	Ducted Heating	1940s	0	0.0837115	0.251731	0.317297	0.117306	0.229955	0	669	4	5.97122e-08
AK	Natural Gas	Ducted Heating	1950s	0	0.121425	0.238331	0.33719	0.156486	0.146567	0	30	30	4.30524e-07
AK	Natural Gas	Ducted Heating	1960s	0	0.141895	0.153984	0.226836	0.160577	0.316708	0	25	25	4.53069e-07
AK	Natural Gas	Ducted Heating	1970s	0	0.0771631	0.253633	0.326089	0.145814	0.197301	0	160	160	2.59694e-06
AK	Natural Gas	Ducted Heating	1980s	0	0.0382252	0.244069	0.353298	0.123258	0.24115	0	300	300	3.26211e-06
AK	Natural Gas	Ducted Heating	1990s	0	0.0161654	0.272006	0.310117	0.0778106	0.323901	0	97	97	1.38416e-06
AK	Natural Gas	Ducted Heating	2000s	0	0.0837115	0.251731	0.317297	0.117306	0.229955	0	669	9	2.96545e-07
AK	Natural Gas	Ducted Heating	2010s	0	0.599768	0.32683	0.0709024	0.00250041	0	0	34	34	1.0147e-07
AK	Natural Gas	Ducted Heating	<1940	0	0.218798	0.348443	0.254015	0.0845006	0.0942427	0	10	10	2.6198e-08
AK	Natural Gas	Non-Ducted Heating	1940s	0	0.0249608	0.220439	0.368852	0.12354	0.262209	0	997	6	1.66441e-07
AK	Natural Gas	Non-Ducted Heating	1950s	0	0.0532964	0.219882	0.398735	0.103913	0.224174	0	45	45	1.38151e-06
AK	Natural Gas	Non-Ducted Heating	1960s	0	0.00553731	0.170204	0.463514	0.126531	0.234215	0	129	129	3.30183e-06
AK	Natural Gas	Non-Ducted Heating	1970s	0	0.0145612	0.223446	0.362301	0.108577	0.291114	0	424	424	1.08045e-05
AK	Natural Gas	Non-Ducted Heating	1980s	0	0.0275306	0.218866	0.366231	0.13482	0.252553	0	301	301	1.04746e-05
AK	Natural Gas	Non-Ducted Heating	1990s	0	0.0247777	0.294712	0.25533	0.161525	0.263655	0	35	35	2.93245e-06
AK	Natural Gas	Non-Ducted Heating	2000s	0	0.0640777	0.438934	0.414831	0.0821575	0	0	15	15	1.27377e-06
AK	Natural Gas	Non-Ducted Heating	2010s	0	0.12916	0.230648	0.172436	0.113784	0.353973	0	13	13	3.26434e-07
AK	Natural Gas	Non-Ducted Heating	<1940	0	0.0980689	0.241237	0.25333	0.188385	0.218979	0	29	29	1.26124e-07
AK	Natural Gas	None	1940s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	1950s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	1960s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	1970s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	1980s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	1990s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	2000s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	2010s	1	0	0	0	0	0	0	0	0	0
AK	Natural Gas	None	<1940	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
AK	None	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
AK	None	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
AK	None	None	1940s	1	0	0	0	0	0	0	786	786	2.56422e-05
AK	None	None	1950s	1	0	0	0	0	0	0	2998	2998	9.41611e-05
AK	None	None	1960s	1	0	0	0	0	0	0	5350	5350	0.000154147
AK	None	None	1970s	1	0	0	0	0	0	0	15511	15511	0.000444195
AK	None	None	1980s	1	0	0	0	0	0	0	16715	16715	0.000483305
AK	None	None	1990s	1	0	0	0	0	0	0	5816	5816	0.000264436
AK	None	None	2000s	1	0	0	0	0	0	0	5289	5289	0.000328407
AK	None	None	2010s	1	0	0	0	0	0	0	12297	12297	9.4402e-05
AK	None	None	<1940	1	0	0	0	0	0	0	2255	2255	3.0393e-05
AK	Other Fuel	Ducted Heating	1940s	1	0	0	0	0	0	0	2	0	0
AK	Other Fuel	Ducted Heating	1950s	1	0	0	0	0	0	0	2	1	0
AK	Other Fuel	Ducted Heating	1960s	1	0	0	0	0	0	0	2	0	0
AK	Other Fuel	Ducted Heating	1970s	1	0	0	0	0	0	0	2	1	0
AK	Other Fuel	Ducted Heating	1980s	1	0	0	0	0	0	0	2	0	0
AK	Other Fuel	Ducted Heating	1990s	1	0	0	0	0	0	0	2	0	0
AK	Other Fuel	Ducted Heating	2000s	1	0	0	0	0	0	0	2	0	0
AK	Other Fuel	Ducted Heating	2010s	1	0	0	0	0	0	0	2	0	0
AK	Other Fuel	Ducted Heating	<1940	1	0	0	0	0	0	0	2	0	0
AK	Other Fuel	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	25	0	1.73572e-08
AK	Other Fuel	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	25	0	8.857e-08
AK	Other Fuel	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	25	0	6.40692e-08
AK	Other Fuel	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	25	8	6.61748e-07
AK	Other Fuel	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	13	13	5.31341e-07
AK	Other Fuel	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	25	1	1.00121e-07
AK	Other Fuel	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	25	1	1.21935e-07
AK	Other Fuel	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	25	1	4.19618e-08
AK	Other Fuel	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	25	1	5.8393e-08
AK	Other Fuel	None	1940s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	1950s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	1960s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	1970s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	1980s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	1990s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	2000s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	2010s	1	0	0	0	0	0	0	0	0	0
AK	Other Fuel	None	<1940	1	0	0	0	0	0	0	0	0	0
AK	Propane	Ducted Heating	1940s	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	0	5.10513e-09
AK	Propane	Ducted Heating	1950s	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	1	3.29409e-08
AK	Propane	Ducted Heating	1960s	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	0	4.25015e-10
AK	Propane	Ducted Heating	1970s	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	9	1.10423e-07
AK	Propane	Ducted Heating	1980s	0	0.0628033	0.440525	0.2266	0.176344	0.0937283	0	16	16	3.25331e-07
AK	Propane	Ducted Heating	1990s	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	2	8.00387e-08
AK	Propane	Ducted Heating	2000s	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	3	1.7228e-07
AK	Propane	Ducted Heating	2010s	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	1	2.03672e-08
AK	Propane	Ducted Heating	<1940	0	0.199855	0.285386	0.177757	0.191979	0.145023	0	34	2	1.73636e-08
AK	Propane	Non-Ducted Heating	1940s	0	0.205775	0.318542	0.328709	0.0967517	0.0502223	0	366	4	1.09416e-07
AK	Propane	Non-Ducted Heating	1950s	0	0.0544872	0.185084	0.470591	0.205269	0.0845686	0	12	12	3.56268e-07
AK	Propane	Non-Ducted Heating	1960s	0	0.0103713	0.378149	0.565102	0.0463776	0	0	17	17	4.08792e-07
AK	Propane	Non-Ducted Heating	1970s	0	0.116977	0.320728	0.432139	0.0906224	0.0395338	0	71	71	1.88468e-06
AK	Propane	Non-Ducted Heating	1980s	0	0.177147	0.307907	0.336208	0.122642	0.0560953	0	79	79	2.42221e-06
AK	Propane	Non-Ducted Heating	1990s	0	0.287495	0.306814	0.233068	0.109208	0.0634143	0	56	56	2.57768e-06
AK	Propane	Non-Ducted Heating	2000s	0	0.228686	0.364521	0.328501	0.0651447	0.0131471	0	55	55	3.8384e-06
AK	Propane	Non-Ducted Heating	2010s	0	0.28259	0.35614	0.190758	0.0585951	0.111917	0	49	49	5.73713e-07
AK	Propane	Non-Ducted Heating	<1940	0	0.297512	0.239745	0.295929	0.150731	0.0160825	0	23	23	2.54865e-07
AK	Propane	None	1940s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	1950s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	1960s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	1970s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	1980s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	1990s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	2000s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	2010s	1	0	0	0	0	0	0	0	0	0
AK	Propane	None	<1940	1	0	0	0	0	0	0	0	0	0
AK	Wood	Ducted Heating	1940s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	0	0
AK	Wood	Ducted Heating	1950s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	0	0
AK	Wood	Ducted Heating	1960s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	3	5.00896e-08
AK	Wood	Ducted Heating	1970s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	5	4.31783e-08
AK	Wood	Ducted Heating	1980s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	7	1.18609e-07
AK	Wood	Ducted Heating	1990s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	1	3.55735e-08
AK	Wood	Ducted Heating	2000s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	0	0
AK	Wood	Ducted Heating	2010s	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	0	0
AK	Wood	Ducted Heating	<1940	0	0.0699505	0.156896	0.401486	0.257276	0.114391	0	17	1	1.71727e-10
AK	Wood	Non-Ducted Heating	1940s	0	0.142706	0.161572	0.426577	0.140165	0.12898	0	75	75	3.19781e-06
AK	Wood	Non-Ducted Heating	1950s	0	0.126733	0.13885	0.373953	0.173261	0.187204	0	296	296	9.39233e-06
AK	Wood	Non-Ducted Heating	1960s	0	0.148377	0.139775	0.347034	0.176612	0.188203	0	612	612	1.82361e-05
AK	Wood	Non-Ducted Heating	1970s	0	0.133473	0.125238	0.358329	0.170166	0.212794	0	2127	2127	5.64391e-05
AK	Wood	Non-Ducted Heating	1980s	0	0.140586	0.145945	0.391566	0.159879	0.162024	0	2596	2596	6.70391e-05
AK	Wood	Non-Ducted Heating	1990s	0	0.116363	0.149162	0.415738	0.130928	0.18781	0	769	769	3.27381e-05
AK	Wood	Non-Ducted Heating	2000s	0	0.127276	0.13446	0.475535	0.137067	0.125662	0	628	628	3.05478e-05
AK	Wood	Non-Ducted Heating	2010s	0	0.294668	0.238977	0.334096	0.068246	0.0640139	0	541	541	5.96092e-06
AK	Wood	Non-Ducted Heating	<1940	0	0.139986	0.134511	0.371468	0.170597	0.183438	0	374	374	5.66741e-06
AK	Wood	None	1940s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	1950s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	1960s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	1970s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	1980s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	1990s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	2000s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	2010s	1	0	0	0	0	0	0	0	0	0
AK	Wood	None	<1940	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	1940s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	1950s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	1960s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	1970s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	1980s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	1990s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	2000s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	2010s	1	0	0	0	0	0	0	0	0	0
Others	Electricity	None	<1940	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	1940s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	1950s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	1960s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	1970s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	1980s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	1990s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	2000s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	2010s	1	0	0	0	0	0	0	0	0	0
Others	Fuel Oil	None	<1940	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	1940s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	1950s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	1960s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	1970s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	1980s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	1990s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	2000s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	2010s	1	0	0	0	0	0	0	0	0	0
Others	Natural Gas	None	<1940	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	None	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	None	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
Others	None	None	1940s	1	0	0	0	0	0	0	0	0	0.0493751
Others	None	None	1950s	1	0	0	0	0	0	0	0	0	0.10373
Others	None	None	1960s	1	0	0	0	0	0	0	0	0	0.106456
Others	None	None	1970s	1	0	0	0	0	0	0	0	0	0.151784
Others	None	None	1980s	1	0	0	0	0	0	0	0	0	0.133734
Others	None	None	1990s	1	0	0	0	0	0	0	0	0	0.137583
Others	None	None	2000s	1	0	0	0	0	0	0	0	0	0.137044
Others	None	None	2010s	1	0	0	0	0	0	0	0	0	0.0506319
Others	None	None	<1940	1	0	0	0	0	0	0	0	0	0.127356
Others	Other Fuel	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
Others	Other Fuel	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
