Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=Fuel Boiler, 76% AFUE	Option=Fuel Boiler, 80% AFUE	Option=Fuel Boiler, 90% AFUE	Option=Fuel Furnace, 60% AFUE	Option=Fuel Furnace, 76% AFUE	Option=Fuel Furnace, 80% AFUE	Option=Fuel Furnace, 92.5% AFUE	Option=None	Option=Shared Heating	Option=Void	source_count	source_weight	sampling_probability
AK	None	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	None	1940s	0	0	0	0	0	0	0	1	0	0	786	786	2.56422e-05
AK	None	None	1950s	0	0	0	0	0	0	0	1	0	0	2998	2998	9.41611e-05
AK	None	None	1960s	0	0	0	0	0	0	0	1	0	0	5350	5350	0.000154147
AK	None	None	1970s	0	0	0	0	0	0	0	1	0	0	15511	15511	0.000444195
AK	None	None	1980s	0	0	0	0	0	0	0	1	0	0	16715	16715	0.000483305
AK	None	None	1990s	0	0	0	0	0	0	0	1	0	0	5816	5816	0.000264436
AK	None	None	2000s	0	0	0	0	0	0	0	1	0	0	5289	5289	0.000328407
AK	None	None	2010s	0	0	0	0	0	0	0	1	0	0	12297	12297	9.4402e-05
AK	None	None	<1940	0	0	0	0	0	0	0	1	0	0	2255	2255	3.0393e-05
AK	Other Fuel	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	2	0	0
AK	Other Fuel	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	2	1	0
AK	Other Fuel	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	2	0	0
AK	Other Fuel	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	2	1	0
AK	Other Fuel	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	2	0	0
AK	Other Fuel	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	2	0	0
AK	Other Fuel	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	2	0	0
AK	Other Fuel	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	2	0	0
AK	Other Fuel	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	2	0	0
AK	Other Fuel	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	7	0	1.73572e-08
AK	Other Fuel	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	7	0	8.857e-08
AK	Other Fuel	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	7	0	6.40692e-08
AK	Other Fuel	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	7	1	6.61748e-07
AK	Other Fuel	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	7	5	5.31341e-07
AK	Other Fuel	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	7	0	1.00121e-07
AK	Other Fuel	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	7	1	1.21935e-07
AK	Other Fuel	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	7	0	4.19618e-08
AK	Other Fuel	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	7	0	5.8393e-08
AK	Other Fuel	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Other Fuel	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	Ducted Heating	1940s	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	0	5.10513e-09
AK	Propane	Ducted Heating	1950s	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	1	3.29409e-08
AK	Propane	Ducted Heating	1960s	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	0	4.25015e-10
AK	Propane	Ducted Heating	1970s	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	9	1.10423e-07
AK	Propane	Ducted Heating	1980s	0	0	0	0	0.375	0.3125	0.3125	0	0	0	16	16	3.25331e-07
AK	Propane	Ducted Heating	1990s	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	2	8.00387e-08
AK	Propane	Ducted Heating	2000s	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	3	1.7228e-07
AK	Propane	Ducted Heating	2010s	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	1	2.03672e-08
AK	Propane	Ducted Heating	<1940	0	0	0	0	0.323529	0.352941	0.323529	0	0	0	34	2	1.73636e-08
AK	Propane	Non-Ducted Heating	1940s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	0	1.09416e-07
AK	Propane	Non-Ducted Heating	1950s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	1	3.56268e-07
AK	Propane	Non-Ducted Heating	1960s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	0	4.08792e-07
AK	Propane	Non-Ducted Heating	1970s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	4	1.88468e-06
AK	Propane	Non-Ducted Heating	1980s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	4	2.42221e-06
AK	Propane	Non-Ducted Heating	1990s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	4	2.57768e-06
AK	Propane	Non-Ducted Heating	2000s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	1	3.8384e-06
AK	Propane	Non-Ducted Heating	2010s	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	7	5.73713e-07
AK	Propane	Non-Ducted Heating	<1940	0.0909091	0.181818	0.727273	0	0	0	0	0	0	0	22	1	2.54865e-07
AK	Propane	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Propane	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	Ducted Heating	1940s	0	0	0	1	0	0	0	0	0	0	17	0	0
AK	Wood	Ducted Heating	1950s	0	0	0	1	0	0	0	0	0	0	17	0	0
AK	Wood	Ducted Heating	1960s	0	0	0	1	0	0	0	0	0	0	17	3	5.00896e-08
AK	Wood	Ducted Heating	1970s	0	0	0	1	0	0	0	0	0	0	17	5	4.31783e-08
AK	Wood	Ducted Heating	1980s	0	0	0	1	0	0	0	0	0	0	17	7	1.18609e-07
AK	Wood	Ducted Heating	1990s	0	0	0	1	0	0	0	0	0	0	17	1	3.55735e-08
AK	Wood	Ducted Heating	2000s	0	0	0	1	0	0	0	0	0	0	17	0	0
AK	Wood	Ducted Heating	2010s	0	0	0	1	0	0	0	0	0	0	17	0	0
AK	Wood	Ducted Heating	<1940	0	0	0	1	0	0	0	0	0	0	17	1	1.71727e-10
AK	Wood	Non-Ducted Heating	1940s	0.533333	0.466667	0	0	0	0	0	0	0	0	63	0	3.19781e-06
AK	Wood	Non-Ducted Heating	1950s	0.533333	0.466667	0	0	0	0	0	0	0	0	63	1	9.39233e-06
AK	Wood	Non-Ducted Heating	1960s	0.533333	0.466667	0	0	0	0	0	0	0	0	63	1	1.82361e-05
AK	Wood	Non-Ducted Heating	1970s	0.636364	0.363636	0	0	0	0	0	0	0	0	12	12	5.64391e-05
AK	Wood	Non-Ducted Heating	1980s	0.533333	0.466667	0	0	0	0	0	0	0	0	16	16	6.70391e-05
AK	Wood	Non-Ducted Heating	1990s	0.5	0.5	0	0	0	0	0	0	0	0	12	12	3.27381e-05
AK	Wood	Non-Ducted Heating	2000s	0.533333	0.466667	0	0	0	0	0	0	0	0	63	5	3.05478e-05
AK	Wood	Non-Ducted Heating	2010s	0.666667	0.333333	0	0	0	0	0	0	0	0	10	10	5.96092e-06
AK	Wood	Non-Ducted Heating	<1940	0.533333	0.466667	0	0	0	0	0	0	0	0	63	6	5.66741e-06
AK	Wood	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Wood	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Electricity	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Fuel Oil	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	Natural Gas	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
Others	None	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
