Dependency=Geometry Building Type RECS	Dependency=State	Option=100% CFL	Option=100% Incandescent	Option=100% LED	source_count	source_weight	sampling_probability
Multi-Family with 5+ Units	DE	0.215804	0.387734	0.396462	11	42358.9	0.000441484
Single-Family Attached	DE	0.215528	0.388635	0.395836	18	37202.3	0.000485836
Single-Family Detached	DE	0.241425	0.247855	0.51072	95	245089	0.00182735
Mobile Home	FL	0.302661	0.233246	0.464094	40	588082	0.00613201
Multi-Family with 2 - 4 Units	FL	0.261473	0.273514	0.465014	38	472028	0.00412856
Multi-Family with 5+ Units	FL	0.194202	0.332921	0.472877	108	1.82711e+06	0.0168033
Single-Family Attached	FL	0.145731	0.264175	0.590095	61	517713	0.00420504
Single-Family Detached	FL	0.22696	0.219305	0.553735	408	4.65723e+06	0.0370076
Mobile Home	GA	0.26571	0.277137	0.457153	26	312829	0.00282319
Multi-Family with 2 - 4 Units	GA	0.0748219	0.507156	0.418022	14	140792	0.00159909
Multi-Family with 5+ Units	GA	0.179072	0.397372	0.423556	38	473424	0.00487496
Single-Family Attached	GA	0.270646	0.278176	0.451178	39	267039	0.00120953
Single-Family Detached	GA	0.210524	0.25636	0.533115	300	2.68732e+06	0.0204993
Mobile Home	HI	0.332877	0.152058	0.515065	31	0	9.44277e-06
Multi-Family with 2 - 4 Units	HI	0.414822	0.198691	0.386487	14	31328.7	0.000248708
Multi-Family with 5+ Units	HI	0.361775	0.214673	0.423552	62	132839	0.00124023
Single-Family Attached	HI	0.332877	0.152058	0.515065	31	34925.9	0.000366466
Single-Family Detached	HI	0.281986	0.144022	0.573992	175	275284	0.0020909
Mobile Home	IA	0.0940996	0.129197	0.776703	10	54107.9	0.000374648
Multi-Family with 2 - 4 Units	IA	0.264947	0.288661	0.446392	25	33302.9	0.000572805
Multi-Family with 5+ Units	IA	0.267879	0.276804	0.455317	19	158059	0.00134489
Single-Family Attached	IA	0.170094	0.17468	0.655226	20	67627.3	0.000407692
Single-Family Detached	IA	0.205808	0.263614	0.530578	231	968851	0.00746457
Mobile Home	ID	0.173084	0.279744	0.547171	21	47643.4	0.000439686
Multi-Family with 2 - 4 Units	ID	0.25185	0.274382	0.473768	10	44616.1	0.000338414
Multi-Family with 5+ Units	ID	0.277276	0.238672	0.484052	14	52562.6	0.000454299
Single-Family Attached	ID	0.385944	0.161741	0.452316	14	25247.2	0.000156949
Single-Family Detached	ID	0.1558	0.192781	0.651418	211	486442	0.00372805
Mobile Home	IL	0.236085	0.274889	0.489025	70	95023.2	0.00100437
Multi-Family with 2 - 4 Units	IL	0.263682	0.151213	0.585105	33	535545	0.00481151
Multi-Family with 5+ Units	IL	0.247079	0.264578	0.488344	101	1.18013e+06	0.00828727
Single-Family Attached	IL	0.273963	0.228247	0.49779	61	273177	0.00226373
Single-Family Detached	IL	0.22658	0.196812	0.576608	326	2.81664e+06	0.0232461
Mobile Home	IN	0.215627	0.198641	0.585732	12	77482.7	0.000997905
Multi-Family with 2 - 4 Units	IN	0.227693	0.258127	0.51418	15	194637	0.00126745
Multi-Family with 5+ Units	IN	0.290226	0.257353	0.452421	21	212405	0.00268415
Single-Family Attached	IN	0.18458	0.347055	0.468365	38	125056	0.000782263
Single-Family Detached	IN	0.219765	0.223116	0.557119	314	1.99002e+06	0.0153839
Mobile Home	KS	0.197647	0.291144	0.51121	22	43643.7	0.000405487
Multi-Family with 2 - 4 Units	KS	0.236408	0.323026	0.440566	11	81302.6	0.000574319
Multi-Family with 5+ Units	KS	0.277596	0.280544	0.44186	19	160358	0.00113643
Single-Family Attached	KS	0.162109	0.299451	0.53844	15	52525.5	0.000417177
Single-Family Detached	KS	0.218411	0.213795	0.567794	156	789242	0.00678565
Mobile Home	KY	0.393025	0.175926	0.431048	31	124049	0.00174275
Multi-Family with 2 - 4 Units	KY	0.176171	0.365724	0.458104	19	92210.4	0.00108337
Multi-Family with 5+ Units	KY	0.245594	0.256642	0.497764	34	197477	0.00159262
Single-Family Attached	KY	0.243192	0.321214	0.435594	38	65133.9	0.000372154
Single-Family Detached	KY	0.219775	0.242886	0.537339	306	1.25939e+06	0.00976349
Mobile Home	LA	0.148987	0.286601	0.564412	40	244005	0.00196644
Multi-Family with 2 - 4 Units	LA	0.193041	0.47042	0.33654	11	61699.4	0.00125106
Multi-Family with 5+ Units	LA	0.0878121	0.408438	0.50375	26	221554	0.00160065
Single-Family Attached	LA	0.155842	0.434741	0.409417	16	39553.5	0.000387689
Single-Family Detached	LA	0.18639	0.291366	0.522243	218	1.16041e+06	0.00980069
Mobile Home	MA	0.155313	0.296012	0.548675	65	20069.6	0.00018019
Multi-Family with 2 - 4 Units	MA	0.198661	0.280595	0.520743	72	579014	0.00438108
Multi-Family with 5+ Units	MA	0.226573	0.268851	0.504577	88	569059	0.00448093
Single-Family Attached	MA	0.150704	0.26601	0.583286	61	154775	0.00113792
Single-Family Detached	MA	0.227458	0.191853	0.580689	327	1.39086e+06	0.0109802
Mobile Home	MD	0.241162	0.199345	0.559493	82	16928.5	0.000251208
Multi-Family with 2 - 4 Units	MD	0.196311	0.283957	0.519733	18	129658	0.000668553
Multi-Family with 5+ Units	MD	0.333531	0.269493	0.396975	59	557685	0.00403852
Single-Family Attached	MD	0.230298	0.2084	0.561302	80	372691	0.0038742
Single-Family Detached	MD	0.239422	0.238204	0.522374	200	1.20437e+06	0.00923401
Mobile Home	ME	0.250449	0.294544	0.455007	17	46196	0.000451089
Multi-Family with 2 - 4 Units	ME	0.259358	0.180835	0.559807	19	74159.2	0.000550544
Multi-Family with 5+ Units	ME	0.329395	0.202499	0.468107	19	68391.8	0.000490167
Single-Family Attached	ME	0.250096	0.283391	0.466513	13	17186.1	0.000128298
Single-Family Detached	ME	0.244895	0.20255	0.552555	155	358602	0.00380399
Mobile Home	MI	0.187345	0.107854	0.704801	19	186455	0.00179935
Multi-Family with 2 - 4 Units	MI	0.282311	0.22504	0.49265	19	301975	0.00168031
Multi-Family with 5+ Units	MI	0.252496	0.391939	0.355565	31	420172	0.00442236
Single-Family Attached	MI	0.208937	0.215573	0.575491	42	211098	0.00158381
Single-Family Detached	MI	0.249363	0.230556	0.520081	277	2.79922e+06	0.0244175
Mobile Home	MN	0.249235	0.236877	0.513888	35	47160.7	0.000598205
Multi-Family with 2 - 4 Units	MN	0.366401	0.221981	0.411619	14	122009	0.000748372
Multi-Family with 5+ Units	MN	0.224267	0.28051	0.495223	36	379244	0.00323822
Single-Family Attached	MN	0.2253	0.265539	0.509161	28	117836	0.00126503
Single-Family Detached	MN	0.180033	0.233919	0.586048	240	1.56353e+06	0.0119253
Mobile Home	MO	0.218761	0.372783	0.408456	17	155680	0.00126951
Multi-Family with 2 - 4 Units	MO	0.211158	0.201236	0.587606	14	163040	0.00162798
Multi-Family with 5+ Units	MO	0.159896	0.381141	0.458962	22	258882	0.00247563
Single-Family Attached	MO	0.15036	0.232045	0.617596	22	120203	0.000691358
Single-Family Detached	MO	0.218147	0.269331	0.512522	221	1.73201e+06	0.0143657
Mobile Home	MS	0.144356	0.269719	0.585924	28	169247	0.00146479
Multi-Family with 2 - 4 Units	MS	0.0668617	0.428383	0.504755	17	23214.8	0.000533861
Multi-Family with 5+ Units	MS	0.0766757	0.383147	0.540178	14	158160	0.000898394
Single-Family Attached	MS	0.136948	0.284395	0.578657	35	16723.4	0.000111211
Single-Family Detached	MS	0.21512	0.26408	0.520799	116	717189	0.00665375
Mobile Home	MT	0.189228	0.253885	0.556886	20	43710.9	0.000384292
Multi-Family with 2 - 4 Units	MT	0.185978	0.234507	0.579516	19	39998.5	0.000275545
Multi-Family with 5+ Units	MT	0.244779	0.287311	0.46791	10	40438.2	0.0003238
Single-Family Attached	MT	0.161988	0.245848	0.592164	11	21301.7	0.000143403
Single-Family Detached	MT	0.211004	0.272171	0.516825	122	287880	0.0025389
Mobile Home	NC	0.228639	0.280828	0.490533	39	404705	0.00425257
Multi-Family with 2 - 4 Units	NC	0.228834	0.261882	0.509284	12	97617	0.00161171
Multi-Family with 5+ Units	NC	0.219638	0.366911	0.413452	50	574447	0.00436466
Single-Family Attached	NC	0.270498	0.258915	0.470587	45	271753	0.00134603
Single-Family Detached	NC	0.224416	0.236785	0.5388	333	2.66422e+06	0.0216484
Mobile Home	ND	0.317007	0.244091	0.438902	16	15429.1	0.000188257
Multi-Family with 2 - 4 Units	ND	0.267214	0.511647	0.22114	13	14415.7	0.000148176
Multi-Family with 5+ Units	ND	0.190913	0.300571	0.508516	62	85268.6	0.000638789
Single-Family Attached	ND	0.179569	0.303288	0.517143	41	24570.6	0.000148065
Single-Family Detached	ND	0.162083	0.285684	0.552234	199	175889	0.00148858
Mobile Home	NE	0.153347	0.375021	0.471632	15	16540.6	0.000203766
Multi-Family with 2 - 4 Units	NE	0.227404	0.3305	0.442097	32	35326.5	0.000300361
Multi-Family with 5+ Units	NE	0.232089	0.354975	0.412936	25	160786	0.000936052
Single-Family Attached	NE	0.238935	0.284365	0.476701	12	29635.8	0.000241027
Single-Family Detached	NE	0.171921	0.295011	0.533068	142	522912	0.00439842
Mobile Home	NH	0.216481	0.253484	0.530035	25	27509.1	0.000258646
Multi-Family with 2 - 4 Units	NH	0.186371	0.347284	0.466345	35	37840.5	0.000515162
Multi-Family with 5+ Units	NH	0.200866	0.27358	0.525554	26	104248	0.000677231
Single-Family Attached	NH	0.160266	0.307809	0.531925	17	28219.8	0.000252064
Single-Family Detached	NH	0.180312	0.206972	0.612716	115	340625	0.00292729
Mobile Home	NJ	0.18857	0.368371	0.443059	63	37127	0.000255024
Multi-Family with 2 - 4 Units	NJ	0.292954	0.228848	0.478198	43	510118	0.00414462
Multi-Family with 5+ Units	NJ	0.162912	0.234153	0.602936	73	698783	0.00549208
Single-Family Attached	NJ	0.183825	0.381965	0.434209	58	351892	0.00256191
Single-Family Detached	NJ	0.180583	0.28482	0.534597	277	1.79606e+06	0.0142998
Mobile Home	NM	0.337287	0.250889	0.411824	22	112442	0.00118929
Multi-Family with 2 - 4 Units	NM	0.260635	0.258893	0.480472	22	60469.4	0.000397527
Multi-Family with 5+ Units	NM	0.335294	0.276077	0.388629	13	76210	0.000659996
Single-Family Attached	NM	0.166305	0.230894	0.602801	12	26501.6	0.000228374
Single-Family Detached	NM	0.279873	0.162486	0.557641	122	511430	0.00433129
Mobile Home	NV	0.191712	0.246566	0.561722	13	74260.1	0.000485241
Multi-Family with 2 - 4 Units	NV	0.17343	0.370305	0.456266	10	77969.2	0.000695626
Multi-Family with 5+ Units	NV	0.244904	0.224715	0.530381	35	267523	0.00203903
Single-Family Attached	NV	0.204703	0.2267	0.568597	26	66401.1	0.000406246
Single-Family Detached	NV	0.236927	0.205422	0.557652	147	653255	0.00532925
Mobile Home	NY	0.28972	0.203783	0.506497	26	192994	0.00143147
Multi-Family with 2 - 4 Units	NY	0.211085	0.262775	0.52614	103	1.24559e+06	0.0105909
Multi-Family with 5+ Units	NY	0.265263	0.311509	0.423228	240	2.59788e+06	0.0204783
Single-Family Attached	NY	0.201212	0.292399	0.506389	74	481314	0.00306845
Single-Family Detached	NY	0.206106	0.228953	0.564941	461	3.00334e+06	0.0255368
Mobile Home	OH	0.173331	0.359321	0.467347	14	205649	0.00144894
Multi-Family with 2 - 4 Units	OH	0.344504	0.44639	0.209107	13	297771	0.0033615
Multi-Family with 5+ Units	OH	0.136952	0.342306	0.520742	36	693359	0.00555837
Single-Family Attached	OH	0.237193	0.321738	0.441068	28	190729	0.00175608
Single-Family Detached	OH	0.261412	0.22746	0.511128	248	3.35149e+06	0.0262693
Mobile Home	OK	0.338499	0.30072	0.360781	18	137224	0.00119083
Multi-Family with 2 - 4 Units	OK	0.155322	0.33719	0.507488	24	44022.5	0.000569825
Multi-Family with 5+ Units	OK	0.145421	0.330261	0.524319	18	183648	0.00142345
Single-Family Attached	OK	0.267918	0.32627	0.405812	14	40597.5	0.000255889
Single-Family Detached	OK	0.224859	0.249695	0.525446	176	1.08734e+06	0.00923734
Mobile Home	OR	0.206401	0.228039	0.56556	25	137672	0.00104031
Multi-Family with 2 - 4 Units	OR	0.28502	0.27616	0.43882	50	45136.7	0.00089357
Multi-Family with 5+ Units	OR	0.300544	0.252364	0.447092	43	302848	0.00214625
Single-Family Attached	OR	0.126125	0.198746	0.675129	20	68403.3	0.000571987
Single-Family Detached	OR	0.193622	0.194662	0.611717	218	1.10009e+06	0.00807615
Mobile Home	PA	0.322659	0.180873	0.496467	15	127138	0.00164109
Multi-Family with 2 - 4 Units	PA	0.241939	0.386379	0.371682	33	395384	0.0035173
Multi-Family with 5+ Units	PA	0.2562	0.370483	0.373317	69	696922	0.00503247
Single-Family Attached	PA	0.240878	0.295667	0.463454	107	820832	0.00772722
Single-Family Detached	PA	0.231819	0.257314	0.510867	393	3.08812e+06	0.0237974
Mobile Home	RI	0.293696	0.136027	0.570278	14	6178.38	3.46047e-05
Multi-Family with 2 - 4 Units	RI	0.230712	0.300021	0.469267	19	70945.5	0.000801233
Multi-Family with 5+ Units	RI	0.240961	0.239954	0.519084	25	76321.5	0.000608959
Single-Family Attached	RI	0.307139	0.167167	0.525693	11	13923.2	0.000117263
Single-Family Detached	RI	0.192346	0.189439	0.618215	133	251320	0.00188918
Mobile Home	SC	0.44551	0.170153	0.384337	40	284669	0.00267057
Multi-Family with 2 - 4 Units	SC	0.251323	0.310787	0.437889	18	104413	0.000777461
Multi-Family with 5+ Units	SC	0.126506	0.257852	0.615642	28	205808	0.00209031
Single-Family Attached	SC	0.343143	0.187749	0.469108	23	97469.7	0.00048708
Single-Family Detached	SC	0.216254	0.245929	0.537817	225	1.27818e+06	0.0103264
Mobile Home	SD	0.154596	0.467361	0.378043	21	16175.4	0.000241766
Multi-Family with 2 - 4 Units	SD	0.122375	0.341461	0.536164	26	16018.6	0.000140358
Multi-Family with 5+ Units	SD	0.153962	0.382325	0.463713	20	62060	0.000421076
Single-Family Attached	SD	0.112952	0.442004	0.445044	13	15844.3	0.000107247
Single-Family Detached	SD	0.173943	0.282004	0.544053	136	236327	0.00189337
Mobile Home	TN	0.219747	0.309118	0.471135	43	221717	0.00198492
Multi-Family with 2 - 4 Units	TN	0.183993	0.269778	0.546229	22	138951	0.00128941
Multi-Family with 5+ Units	TN	0.195435	0.424151	0.380414	44	336061	0.00280451
Single-Family Attached	TN	0.205272	0.247113	0.547615	32	69512.2	0.000658616
Single-Family Detached	TN	0.210078	0.277842	0.51208	364	1.89127e+06	0.0146976
Mobile Home	TX	0.190504	0.293804	0.515692	52	615903	0.0056851
Multi-Family with 2 - 4 Units	TX	0.207078	0.438782	0.35414	59	639162	0.00399908
Multi-Family with 5+ Units	TX	0.228218	0.384608	0.387174	131	1.96986e+06	0.0156716
Single-Family Attached	TX	0.239066	0.328508	0.432427	55	249195	0.00201393
Single-Family Detached	TX	0.217758	0.219962	0.56228	719	6.78129e+06	0.050521
Mobile Home	UT	0.297059	0.244479	0.458463	24	24768.5	0.000256672
Multi-Family with 2 - 4 Units	UT	0.267856	0.397364	0.33478	18	58136.7	0.000541683
Multi-Family with 5+ Units	UT	0.274584	0.398262	0.327154	13	141744	0.0011574
Single-Family Attached	UT	0.218817	0.232087	0.549096	19	83761.1	0.000480906
Single-Family Detached	UT	0.176546	0.225629	0.597826	146	731586	0.00520233
Mobile Home	VA	0.207393	0.243564	0.549043	27	237212	0.00132797
Multi-Family with 2 - 4 Units	VA	0.169066	0.527559	0.303374	21	152196	0.00113456
Multi-Family with 5+ Units	VA	0.260179	0.324525	0.415296	59	580339	0.00464446
Single-Family Attached	VA	0.233172	0.260235	0.506592	53	264273	0.00280742
Single-Family Detached	VA	0.181152	0.268032	0.550816	291	2.00799e+06	0.0157866
Mobile Home	VT	0.267316	0.293009	0.439675	20	23496.7	0.000161538
Multi-Family with 2 - 4 Units	VT	0.20743	0.167165	0.625406	21	34545.6	0.000300511
Multi-Family with 5+ Units	VT	0.317212	0.127803	0.554984	23	31352.6	0.000268845
Single-Family Attached	VT	0.174455	0.22558	0.599964	16	9597.59	9.8247e-05
Single-Family Detached	VT	0.230802	0.194637	0.574561	165	159832	0.00160875
Mobile Home	WA	0.261291	0.261997	0.476712	28	195003	0.00145049
Multi-Family with 2 - 4 Units	WA	0.277449	0.19283	0.529722	17	171761	0.00128769
Multi-Family with 5+ Units	WA	0.257348	0.232669	0.509983	79	690804	0.00451929
Single-Family Attached	WA	0.0732576	0.0701497	0.856593	19	80800.5	0.000864075
Single-Family Detached	WA	0.192106	0.202474	0.60542	296	1.80066e+06	0.0140097
Mobile Home	WI	0.248487	0.261995	0.489518	41	60464.4	0.000666911
Multi-Family with 2 - 4 Units	WI	0.188626	0.260586	0.550788	14	155792	0.00198503
Multi-Family with 5+ Units	WI	0.230253	0.291936	0.477812	49	431195	0.00312277
Single-Family Attached	WI	0.201958	0.192342	0.6057	32	105695	0.000844245
Single-Family Detached	WI	0.195561	0.22923	0.575209	253	1.63573e+06	0.013146
Mobile Home	WV	0.24282	0.275968	0.481213	28	115508	0.000987103
Multi-Family with 2 - 4 Units	WV	0.139228	0.622006	0.238766	18	27914.4	0.000322002
Multi-Family with 5+ Units	WV	0.139228	0.622006	0.238766	18	42540	0.000485945
Single-Family Attached	WV	0.246648	0.335463	0.417889	14	35203.5	0.000147088
Single-Family Detached	WV	0.211882	0.239911	0.548207	137	474996	0.00465759
Mobile Home	WY	0.303855	0.283984	0.412161	18	20341.8	0.000271619
Multi-Family with 2 - 4 Units	WY	0.237486	0.29367	0.468844	19	6485.44	0.000134572
Multi-Family with 5+ Units	WY	0.241316	0.304873	0.453811	15	31094	0.000185946
Single-Family Attached	WY	0.192099	0.2677	0.5402	15	12592.2	9.54217e-05
Single-Family Detached	WY	0.213603	0.216664	0.569733	138	155633	0.00131152
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Qualitative lamp type fractions in each household surveyed are distributed to three options representing 100% incandescent, 100% CFl, and 100% LED lamp type options.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Qualitative portion of inside light bulbs is mapped to quantitative percentage as: None: 0%; Some: 20%; About half: 50%; Most: 80%; All: 100%. Then the sum of three types of lighting options is normalized to 100%
