Dependency=Custom State	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=HVAC Secondary Heating Fuel	Dependency=Vintage	Option=Ducted Heating	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
AK	Mobile Home	Ducted Heat Pump	Other Fuel	1960s	0	1	0	0	0	0
AK	Mobile Home	Ducted Heat Pump	Other Fuel	1970s	0	1	0	0	0	0
AK	Mobile Home	Ducted Heat Pump	Other Fuel	1980s	0	1	0	0	0	0
AK	Mobile Home	Ducted Heat Pump	Other Fuel	1990s	0	1	0	0	0	0
AK	Mobile Home	Ducted Heat Pump	Other Fuel	2000s	0	1	0	0	0	0
AK	Mobile Home	Ducted Heat Pump	Other Fuel	2010s	0	1	0	0	0	0
AK	Mobile Home	Ducted Heat Pump	Other Fuel	<1940	0	1	0	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	1940s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	1950s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	1960s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	1970s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	1980s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	1990s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	2000s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	2010s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Propane	<1940	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	1940s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	1950s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	1960s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	1970s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	1980s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	1990s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	2000s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	2010s	0	0.5	0.5	0	0	0
AK	Mobile Home	Ducted Heat Pump	Wood	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	1940s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	1950s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	1960s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	1970s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	1980s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	1990s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	2000s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	2010s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Electricity	<1940	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Fuel Oil	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Natural Gas	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	1940s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	1950s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	1960s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	1970s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	1980s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	1990s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	2000s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	2010s	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	None	<1940	0	0	1	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	1940s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	1950s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	1960s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	1970s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	1980s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	1990s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	2000s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	2010s	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Other Fuel	<1940	0	1	0	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Propane	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Wood	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	1940s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	1950s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	1960s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	1970s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	1980s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	1990s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	2000s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	2010s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Electricity	<1940	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Fuel Oil	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Natural Gas	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	1940s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	1950s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	1960s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	1970s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	1980s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	1990s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	2000s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	2010s	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	None	<1940	0	0	1	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	1940s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	1950s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	1960s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	1970s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	1980s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	1990s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	2000s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	2010s	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Other Fuel	<1940	0	1	0	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Propane	<1940	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	1940s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	1950s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	1960s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	1970s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	1980s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	1990s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	2000s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	2010s	0	0.5	0.5	0	0	0
AK	Multi-Family with 5+ Units	Ducted Heat Pump	Wood	<1940	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	1940s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	1950s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	1960s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	1970s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	1980s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	1990s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	2000s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	2010s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Electricity	<1940	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	1940s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	1950s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	1960s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	1970s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	1980s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	1990s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	2000s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	2010s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Fuel Oil	<1940	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	1940s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	1950s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	1960s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	1970s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	1980s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	1990s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	2000s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	2010s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Natural Gas	<1940	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	1940s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	1950s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	1960s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	1970s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	1980s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	1990s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	2000s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	2010s	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	None	<1940	0	0	1	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	1940s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	1950s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	1960s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	1970s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	1980s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	1990s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	2000s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	2010s	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Other Fuel	<1940	0	1	0	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	1940s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	1950s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	1960s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	1970s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	1980s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	1990s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	2000s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	2010s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Propane	<1940	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	1940s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	1950s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	1960s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	1970s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	1980s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	1990s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	2000s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	2010s	0	0.5	0.5	0	0	0
AK	Single-Family Attached	Ducted Heat Pump	Wood	<1940	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	1940s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	1950s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	1960s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	1970s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	1980s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	1990s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	2000s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	2010s	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Electricity	<1940	0	0	1	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	1940s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	1950s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	1960s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	1970s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	1980s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	1990s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	2000s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	2010s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Fuel Oil	<1940	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	1940s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	1950s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	1960s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	1970s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	1980s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	1990s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	2000s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	2010s	0	0.5	0.5	0	0	0
AK	Single-Family Detached	Ducted Heat Pump	Natural Gas	<1940	0	0.5	0.5	0	0	0
