Dependency=ASHRAE IECC Climate Zone 2004 - Sub-CZ Split	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	Option=Void	source_count	source_weight	sampling_probability
1A - FL	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.367542	1276.13	2.28364e-06
1A - FL	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.367542	154.509	2.18165e-08
1A - FL	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.0069568	26.7321	3.19346e-07
1A - FL	Mobile Home	2500-3999	Room AC	0	0.280826	0.12773	0.323345	0.0155451	0.252554	0	0	0.058082	233.272	5.28504e-07
1A - FL	Mobile Home	4000+	Central AC	0	0	0	0.000417342	0.00945127	0.990131	0	0	0.0486709	181.213	1.66515e-07
1A - FL	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0633509	187.829	3.44525e-07
1A - FL	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Mobile Home	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0633509	22.7416	1.00023e-09
1A - FL	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.00082298	3.05391	3.60082e-08
1A - FL	Mobile Home	4000+	Room AC	0	0.256381	0.0775966	0.289369	0.00953725	0.367117	0	0	0.00537756	23.0918	9.6393e-08
1A - FL	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.000105312	0.000852951	0.999042	0	0	8.14439	12675.9	0.000312145
1A - FL	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.5445	2247.83	0.000256721
1A - FL	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 2 - 4 Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.5445	272.159	2.23271e-05
1A - FL	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	0	1.63906	2745.58	4.83431e-05
1A - FL	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.0531962	0.162416	0.164788	0.0147833	0.604816	0	0	10.486	19427.2	7.92529e-05
1A - FL	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.000417643	0.0021043	0.997478	0	0	5.72224	8359.52	5.67279e-05
1A - FL	Multi-Family with 2 - 4 Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.7816	2379.2	4.85289e-05
1A - FL	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.7816	288.064	4.24259e-06
1A - FL	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	0.434834	665.71	7.76452e-06
1A - FL	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.120481	0.263144	0.214136	0.0478977	0.354341	0	0	1.54314	2534.51	1.27709e-05
1A - FL	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.00100708	0.00387313	0.99512	0	0	2.65983	3757.65	3.64403e-06
1A - FL	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.464447	625.076	3.78026e-06
1A - FL	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.464447	75.6819	2.608e-07
1A - FL	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	0.133803	200.463	5.09736e-07
1A - FL	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.206317	0.252596	0.208005	0.055909	0.277174	0	0	0.658279	1055.82	1.25652e-06
1A - FL	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.000945194	0.0039832	0.995072	0	0	0.537175	765.721	1.39936e-06
1A - FL	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0800539	92.0025	8.97221e-07
1A - FL	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0800539	11.1393	1.01596e-07
1A - FL	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.0158287	22.9012	2.85336e-07
1A - FL	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.195155	0.158992	0.192867	0.0355395	0.417446	0	0	0.0609473	104.516	4.78569e-07
1A - FL	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.000105312	0.000852951	0.999042	0	0	8.14439	12675.9	0.00246783
1A - FL	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.5445	2247.83	0.00189125
1A - FL	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.5445	272.159	6.14147e-05
1A - FL	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	1.63906	2745.58	0.00023581
1A - FL	Multi-Family with 5+ Units	0-1499	Room AC	0	0.0531962	0.162416	0.164788	0.0147833	0.604816	0	0	10.486	19427.2	0.000349538
1A - FL	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.000417643	0.0021043	0.997478	0	0	5.72224	8359.52	0.000383564
1A - FL	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.7816	2379.2	0.000286288
1A - FL	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.7816	288.064	9.58092e-06
1A - FL	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0	0.434834	665.71	3.8737e-05
1A - FL	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.120481	0.263144	0.214136	0.0478977	0.354341	0	0	1.54314	2534.51	4.10278e-05
1A - FL	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.00100708	0.00387313	0.99512	0	0	2.65983	3757.65	4.09644e-05
1A - FL	Multi-Family with 5+ Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.464447	625.076	2.69248e-05
1A - FL	Multi-Family with 5+ Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 5+ Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.464447	75.6819	1.14743e-06
1A - FL	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0	0.133803	200.463	5.38891e-06
1A - FL	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.206317	0.252596	0.208005	0.055909	0.277174	0	0	0.658279	1055.82	2.62559e-06
1A - FL	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.000945194	0.0039832	0.995072	0	0	0.537175	765.721	5.07806e-06
1A - FL	Multi-Family with 5+ Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0800539	92.0025	2.96276e-06
1A - FL	Multi-Family with 5+ Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Multi-Family with 5+ Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0800539	11.1393	1.94173e-07
1A - FL	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0	0.0158287	22.9012	8.44337e-07
1A - FL	Multi-Family with 5+ Units	4000+	Room AC	0	0.195155	0.158992	0.192867	0.0355395	0.417446	0	0	0.0609473	104.516	2.60989e-07
1A - FL	Single-Family Attached	0-1499	Central AC	0	0	0	0.00121059	0.00510834	0.993681	0	0	140.88	200050	0.000308117
1A - FL	Single-Family Attached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	61.2908	79400.9	0.000286866
1A - FL	Single-Family Attached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Attached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	61.2908	9613.56	6.56634e-06
1A - FL	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	0	6.42692	9613.61	2.42356e-05
1A - FL	Single-Family Attached	0-1499	Room AC	0	0.150433	0.192157	0.226993	0.0343733	0.396043	0	0	26.8881	46300.5	4.35472e-05
1A - FL	Single-Family Attached	1500-2499	Central AC	0	0	0	0.00475556	0.0124837	0.982761	0	0	98.9821	131929	0.000242531
1A - FL	Single-Family Attached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	70.6995	84041.1	0.000203662
1A - FL	Single-Family Attached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Attached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	70.6995	10175.4	5.58656e-06
1A - FL	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	0	1.70503	2330.97	1.64226e-05
1A - FL	Single-Family Attached	1500-2499	Room AC	0	0.264031	0.241266	0.228588	0.0863054	0.17981	0	0	3.95693	6040.46	2.35358e-05
1A - FL	Single-Family Attached	2500-3999	Central AC	0	0	0	0.0112991	0.0226404	0.96606	0	0	46.0093	59303	3.27875e-05
1A - FL	Single-Family Attached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	18.4308	22079.8	2.64071e-05
1A - FL	Single-Family Attached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Attached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	18.4308	2673.34	6.61956e-07
1A - FL	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0	0.524656	701.918	2.5276e-06
1A - FL	Single-Family Attached	2500-3999	Room AC	0	0.394135	0.201883	0.193557	0.087817	0.122608	0	0	1.68796	2516.32	3.68547e-06
1A - FL	Single-Family Attached	4000+	Central AC	0	0	0	0.0106058	0.0232861	0.966108	0	0	9.29194	12084.6	6.16877e-06
1A - FL	Single-Family Attached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.1768	3249.83	4.95736e-06
1A - FL	Single-Family Attached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Attached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.1768	393.478	5.93472e-08
1A - FL	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0	0.0620661	80.1881	4.7756e-07
1A - FL	Single-Family Attached	4000+	Room AC	0	0.405304	0.138146	0.195111	0.0606873	0.200751	0	0	0.156281	249.092	1.05424e-06
1A - FL	Single-Family Detached	0-1499	Central AC	0	0	0	0.00121059	0.00510834	0.993681	0	0	140.88	200050	0.000880407
1A - FL	Single-Family Detached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	61.2908	79400.9	0.000788071
1A - FL	Single-Family Detached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Detached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	61.2908	9613.56	4.21576e-05
1A - FL	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	0	6.42692	9613.61	6.05918e-05
1A - FL	Single-Family Detached	0-1499	Room AC	0	0.150433	0.192157	0.226993	0.0343733	0.396043	0	0	26.8881	46300.5	8.22415e-05
1A - FL	Single-Family Detached	1500-2499	Central AC	0	0	0	0.00475556	0.0124837	0.982761	0	0	98.9821	131929	0.00114982
1A - FL	Single-Family Detached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	70.6995	84041.1	0.00115414
1A - FL	Single-Family Detached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Detached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	70.6995	10175.4	5.41671e-05
1A - FL	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	0	1.70503	2330.97	8.28908e-05
1A - FL	Single-Family Detached	1500-2499	Room AC	0	0.264031	0.241266	0.228588	0.0863054	0.17981	0	0	3.95693	6040.46	8.837e-05
1A - FL	Single-Family Detached	2500-3999	Central AC	0	0	0	0.0112991	0.0226404	0.96606	0	0	46.0093	59303	0.000505478
1A - FL	Single-Family Detached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	18.4308	22079.8	0.000510281
1A - FL	Single-Family Detached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Detached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	18.4308	2673.34	2.18541e-05
1A - FL	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0	0.524656	701.918	3.47725e-05
1A - FL	Single-Family Detached	2500-3999	Room AC	0	0.394135	0.201883	0.193557	0.087817	0.122608	0	0	1.68796	2516.32	3.20109e-05
1A - FL	Single-Family Detached	4000+	Central AC	0	0	0	0.0106058	0.0232861	0.966108	0	0	9.29194	12084.6	0.000100554
1A - FL	Single-Family Detached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.1768	3249.83	9.95147e-05
1A - FL	Single-Family Detached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18	0
1A - FL	Single-Family Detached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.1768	393.478	3.76776e-06
1A - FL	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0	0.0620661	80.1881	6.51897e-06
1A - FL	Single-Family Detached	4000+	Room AC	0	0.405304	0.138146	0.195111	0.0606873	0.200751	0	0	0.156281	249.092	5.99555e-06
1A - HI	Mobile Home	0-1499	Central AC	0	0	0	0	0	1	0	0	0.0343508	66.5848	4.66894e-07
1A - HI	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	8.78752e-19	1.1142e-18	5.4585e-07
1A - HI	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	2.10087e-18	1.7383e-18	0
1A - HI	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0.0511959	0.0953194	0.35693	0	0.496555	0	0	0.0468326	114.607	1.15096e-07
1A - HI	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	0.713632	1392.72	2.76009e-06
1A - HI	Mobile Home	0-1499	Room AC	0	0.229672	0.204556	0.351963	0.131021	0.0827878	0	0	1.84372	3382.11	2.89173e-06
1A - HI	Mobile Home	1500-2499	Central AC	0	0	0	0	0	1	0	0	0.0307721	48.6488	1.59831e-07
1A - HI	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	6.41122e-19	6.97095e-19	1.87106e-07
1A - HI	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	1.53878e-18	1.10707e-18	0
1A - HI	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0.0872831	0.107514	0.537113	0	0.268089	0	0	0.0369342	59.3779	3.10773e-08
1A - HI	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.20279	297.033	9.56765e-07
1A - HI	Mobile Home	1500-2499	Room AC	0	0.517101	0.196087	0.186606	0.067154	0.0330515	0	0	0.298288	408.605	9.90776e-07
1A - HI	Mobile Home	2500-3999	Central AC	0	0	0	0	0	1	0	0	0.0138708	20.5367	1.47284e-08
1A - HI	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.84677e-19	1.89418e-19	1.58595e-08
1A - HI	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	9.95605e-20	5.76288e-20	0
1A - HI	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0.161473	0.167067	0.555056	0	0.116404	0	0	0.0162245	26.4057	5.00863e-09
1A - HI	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.0290686	37.3412	9.70162e-08
1A - HI	Mobile Home	2500-3999	Room AC	0	0.554103	0.179285	0.137903	0.109854	0.0188551	0	0	0.0427165	48.9651	1.00059e-07
1A - HI	Mobile Home	4000+	Central AC	0	0	0	0	0	1	0	0	0.00121883	1.75197	7.95592e-09
1A - HI	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.18401e-20	1.05567e-20	8.32874e-09
1A - HI	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	1.52459e-20	1.35512e-20	0
1A - HI	Mobile Home	4000+	Non-Ducted Heat Pump	0	0.157113	0.264283	0.578604	0	0	0	0	0.0005681	0.771723	1.3126e-09
1A - HI	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.00136055	1.94088	4.26366e-08
1A - HI	Mobile Home	4000+	Room AC	0	0.625971	0.175013	0.187186	0	0.0118289	0	0	0.00142523	1.71812	4.46488e-08
1A - HI	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0	0	1	0	0	0.0399924	102.609	1.10561e-05
1A - HI	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.05554e-19	2.6226e-19	5.48642e-06
1A - HI	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	1.36469e-19	1.98336e-19	0
1A - HI	Multi-Family with 2 - 4 Units	0-1499	Non-Ducted Heat Pump	0	0.0837566	0.0882991	0.662253	0.165691	0	0	0	0.0148078	45.8307	1.99621e-06
1A - HI	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	0	2.82215	7509.01	9.64496e-05
1A - HI	Multi-Family with 2 - 4 Units	0-1499	Room AC	0.00222153	0.263945	0.202092	0.315852	0.136845	0.0790451	0	0	4.4614	11768.5	0.000100213
1A - HI	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0	0	1	0	0	0.0358259	74.9694	1.22756e-06
1A - HI	Multi-Family with 2 - 4 Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.49969e-19	1.64082e-19	7.91215e-07
1A - HI	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	9.99567e-20	1.26315e-19	0
1A - HI	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0.0977242	0.06816	0.682017	0.152099	0	0	0	0.0116781	23.745	2.62175e-07
1A - HI	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	0.80196	1601.49	1.1019e-05
1A - HI	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0.0235116	0.548923	0.178945	0.154684	0.0647876	0.0291496	0	0	0.721789	1421.8	1.14411e-05
1A - HI	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0	0	1	0	0	0.0161489	31.6478	3.43405e-07
1A - HI	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	4.31989e-20	4.45852e-20	1.73243e-07
1A - HI	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	6.46729e-21	6.57532e-21	0
1A - HI	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0.154492	0.0905081	0.60228	0.15272	0	0	0	0.00512998	10.5595	3.88569e-08
1A - HI	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	0.114956	201.329	3.26167e-06
1A - HI	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0.0400308	0.571088	0.15885	0.110986	0.102899	0.0161453	0	0	0.103364	170.381	3.31801e-06
1A - HI	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0	0	1	0	0	0.001419	2.69984	8.03422e-08
1A - HI	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.76958e-21	2.48484e-21	3.62039e-08
1A - HI	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	9.90351e-22	1.54616e-21	0
1A - HI	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0.151803	0.144586	0.634023	0.0695877	0	0	0	0.000179625	0.308609	1.42325e-08
1A - HI	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.00538048	10.4645	7.39114e-07
1A - HI	Multi-Family with 2 - 4 Units	4000+	Room AC	0.0636514	0.628607	0.151088	0.146785	0	0.00986905	0	0	0.00344874	5.97846	7.61238e-07
1A - HI	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0	0	1	0	0	0.382082	1009.99	5.72649e-05
1A - HI	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.9821e-18	3.07772e-18	3.71316e-05
1A - HI	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	8.7571e-19	1.68737e-18	0
1A - HI	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0.0729375	0.0778824	0.464357	0.0242807	0.360543	0	0	0.695015	2271.67	1.45086e-05
1A - HI	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	8.85014	25634.9	0.000492448
1A - HI	Multi-Family with 5+ Units	0-1499	Room AC	0.000398138	0.204978	0.20127	0.357567	0.0830338	0.152753	0	0	17.7617	42307.8	0.000517212
1A - HI	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0	0	1	0	0	0.342275	737.93	5.53802e-06
1A - HI	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.4461e-18	1.92556e-18	3.63513e-06
1A - HI	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	6.41414e-19	1.07464e-18	0
1A - HI	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0.109252	0.0771806	0.61393	0.0286143	0.171023	0	0	0.548118	1176.95	1.42987e-06
1A - HI	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0	2.51491	5467.3	5.04648e-05
1A - HI	Multi-Family with 5+ Units	1500-2499	Room AC	0.00479114	0.48471	0.20264	0.19911	0.0446984	0.0640504	0	0	2.87358	5111.37	5.24685e-05
1A - HI	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0	0	1	0	0	0.154284	311.512	2.83069e-07
1A - HI	Multi-Family with 5+ Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	4.16553e-19	5.23224e-19	2.95457e-07
1A - HI	Multi-Family with 5+ Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	4.15001e-20	5.59402e-20	0
1A - HI	Multi-Family with 5+ Units	2500-3999	Non-Ducted Heat Pump	0	0.189893	0.112679	0.596072	0.0315887	0.069767	0	0	0.240779	523.398	8.24773e-08
1A - HI	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0	0.360496	687.316	2.32406e-06
1A - HI	Multi-Family with 5+ Units	2500-3999	Room AC	0.00866282	0.535527	0.19103	0.151714	0.0753912	0.0376741	0	0	0.411513	612.52	2.49257e-06
1A - HI	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0	0	1	0	0	0.0135569	26.5747	1.42596e-07
1A - HI	Multi-Family with 5+ Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	2.67062e-20	2.91605e-20	7.16652e-08
1A - HI	Multi-Family with 5+ Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	6.355e-21	1.31541e-20	0
1A - HI	Multi-Family with 5+ Units	4000+	Non-Ducted Heat Pump	0	0.185021	0.178492	0.622215	0.0142726	0	0	0	0.00843084	15.2966	3.21698e-08
1A - HI	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0	0.0168729	35.7246	1.17247e-06
1A - HI	Multi-Family with 5+ Units	4000+	Room AC	0.0136568	0.584431	0.180144	0.198936	0	0.0228323	0	0	0.0137301	21.4925	1.23536e-06
1A - HI	Single-Family Attached	0-1499	Central AC	0	0	0	0	0	1	0	0	0.181627	209.191	1.3896e-05
1A - HI	Single-Family Attached	0-1499	Ducted Heat Pump	0	0	0	0.152826	0.162989	0.684184	0	0	4.04188e-19	2.69908e-19	2.0591e-05
1A - HI	Single-Family Attached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	1.67738e-19	1.17046e-19	0
